                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.87323,                0.97351,                0.95817,                0.81651,                0.05882,                0.06172,                0.03094,                 1.5806,                 3.5109,                 1.4268,             0.00046899,             0.00046899,             0.00046899
                     66,                0.79904,                0.97745,                0.92206,                0.82134,                0.05882,                0.08024,                0.03645,                 1.5678,                 3.4385,                  1.378,             0.00046345,             0.00046345,             0.00046345
                     67,                0.87171,                0.96696,                0.99834,                0.82134,                0.05882,                0.08024,                0.03645,                 1.5678,                 3.4385,                  1.378,             0.00045751,             0.00045751,             0.00045751
                     68,                0.97049,                 1.1171,                 1.0528,                0.82134,                0.05882,                0.08024,                0.03645,                 1.5678,                 3.4385,                  1.378,             0.00045118,             0.00045118,             0.00045118
                     69,                0.80468,                 1.0531,                 1.0734,                0.52132,                0.05882,                0.10107,                0.05419,                 1.5857,                 3.3427,                  1.349,             0.00044445,             0.00044445,             0.00044445
                     70,                0.80573,                 0.9555,                 1.0433,                0.52132,                0.05882,                0.10107,                0.05419,                 1.5857,                 3.3427,                  1.349,             0.00043732,             0.00043732,             0.00043732
                     71,                0.91277,                 1.1415,                 1.1923,                0.52132,                0.05882,                0.10107,                0.05419,                 1.5857,                 3.3427,                  1.349,              0.0004298,              0.0004298,              0.0004298
                     72,                0.94106,                 1.0817,                 1.0653,                0.37338,                0.05882,                0.10952,                0.06404,                 1.6169,                 3.3602,                 1.3891,             0.00042188,             0.00042188,             0.00042188
                     73,                0.86048,                0.92062,                 0.9916,                0.37338,                0.05882,                0.10952,                0.06404,                 1.6169,                 3.3602,                 1.3891,             0.00041357,             0.00041357,             0.00041357
                     74,                0.83888,                0.92194,                 1.0117,                0.37338,                0.05882,                0.10952,                0.06404,                 1.6169,                 3.3602,                 1.3891,             0.00040486,             0.00040486,             0.00040486
                     75,                 0.8502,                 1.1453,                 1.0553,                0.35596,                0.06681,                0.11078,                0.06534,                 1.6008,                 3.3414,                 1.4055,             0.00039575,             0.00039575,             0.00039575
                     76,                0.83807,                 1.1104,                 1.0826,                0.35596,                0.06681,                0.11078,                0.06534,                 1.6008,                 3.3414,                 1.4055,             0.00038625,             0.00038625,             0.00038625
                     77,                0.78168,                0.88221,                0.96814,                0.35596,                0.06681,                0.11078,                0.06534,                 1.6008,                 3.3414,                 1.4055,             0.00037635,             0.00037635,             0.00037635
                     78,                0.75665,                 0.8648,                0.91085,                0.48747,                0.11765,                0.11789,                0.07427,                 1.6954,                 3.2725,                 1.4083,             0.00036606,             0.00036606,             0.00036606
                     79,                0.84364,                0.89573,                0.98155,                0.48747,                0.11765,                0.11789,                0.07427,                 1.6954,                 3.2725,                 1.4083,             0.00035537,             0.00035537,             0.00035537
                     80,                0.85622,                0.91575,                 1.0695,                0.48747,                0.11765,                0.11789,                0.07427,                 1.6954,                 3.2725,                 1.4083,             0.00034428,             0.00034428,             0.00034428
                     81,                  0.777,                0.92659,                0.98364,                 0.4491,                0.11765,                 0.1412,                0.09037,                 1.7022,                 3.2058,                 1.3968,              0.0003328,              0.0003328,              0.0003328
                     82,                0.82484,                0.83997,                 0.9554,                 0.4491,                0.11765,                 0.1412,                0.09037,                 1.7022,                 3.2058,                 1.3968,             0.00032092,             0.00032092,             0.00032092
                     83,                0.91479,                0.89924,                 1.0084,                 0.4491,                0.11765,                 0.1412,                0.09037,                 1.7022,                 3.2058,                 1.3968,             0.00030865,             0.00030865,             0.00030865
                     84,                0.62988,                0.82381,                0.93457,                      1,                0.11738,                0.18913,                0.10911,                 1.7131,                 3.0884,                 1.3894,             0.00029598,             0.00029598,             0.00029598
                     85,                0.75908,                0.92407,                0.99116,                      1,                0.11738,                0.18913,                0.10911,                 1.7131,                 3.0884,                 1.3894,             0.00028291,             0.00028291,             0.00028291
                     86,                  0.658,                0.86146,                0.92989,                      1,                0.11738,                0.18913,                0.10911,                 1.7131,                 3.0884,                 1.3894,             0.00026945,             0.00026945,             0.00026945
                     87,                0.72745,                0.80298,                 1.0229,                      1,                0.11738,                0.18913,                0.10911,                 1.7131,                 3.0884,                 1.3894,             0.00025559,             0.00025559,             0.00025559
                     88,                0.76301,                0.99416,                0.93486,                0.44621,                0.14483,                0.22361,                0.11558,                 1.7215,                 2.9839,                 1.3855,             0.00024134,             0.00024134,             0.00024134
                     89,                0.79793,                0.99759,                 1.0321,                0.44621,                0.14483,                0.22361,                0.11558,                 1.7215,                 2.9839,                 1.3855,             0.00022669,             0.00022669,             0.00022669
                     90,                0.68617,                0.74352,                0.91696,                0.44621,                0.14483,                0.22361,                0.11558,                 1.7215,                 2.9839,                 1.3855,             0.00021164,             0.00021164,             0.00021164
                     91,                0.75521,                 1.1026,                0.90453,                0.44621,                0.14483,                0.22361,                0.11558,                 1.7215,                 2.9839,                 1.3855,              0.0001962,              0.0001962,              0.0001962
                     92,                0.70865,                0.93417,                0.97347,                0.39547,                0.17647,                0.21617,                0.12396,                 1.7018,                  2.948,                 1.3995,             0.00018036,             0.00018036,             0.00018036
                     93,                0.63594,                0.88811,                0.90827,                0.39547,                0.17647,                0.21617,                0.12396,                 1.7018,                  2.948,                 1.3995,             0.00016413,             0.00016413,             0.00016413
                     94,                0.65725,                0.90215,                0.92519,                0.39547,                0.17647,                0.21617,                0.12396,                 1.7018,                  2.948,                 1.3995,              0.0001475,              0.0001475,              0.0001475
                     95,                0.62584,                0.89583,                0.92598,                0.39547,                0.17647,                0.21617,                0.12396,                 1.7018,                  2.948,                 1.3995,             0.00013047,             0.00013047,             0.00013047
                     96,                0.61659,                0.80064,                0.87039,                 0.5366,                0.17647,                0.22809,                0.12794,                 1.7004,                 2.9439,                  1.418,             0.00011305,             0.00011305,             0.00011305
                     97,                0.67226,                0.88129,                0.88392,                 0.5366,                0.17647,                0.22809,                0.12794,                 1.7004,                 2.9439,                  1.418,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                0.60519,                0.84768,                0.90932,                 0.5366,                0.17647,                0.22809,                0.12794,                 1.7004,                 2.9439,                  1.418,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.63607,                0.87772,                0.89653,                 0.5366,                0.17647,                0.22809,                0.12794,                 1.7004,                 2.9439,                  1.418,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                0.63742,                0.83338,                0.90485,                0.80128,                0.17647,                0.26143,                0.13423,                 1.6429,                 2.9032,                 1.4029,             3.9402e-05,             3.9402e-05,             3.9402e-05
